State,1960_Population,1970_Population,1980_Population,1990_Population,2000_Population,2010_Population,1960_Rank,1970_Rank,1980_Rank,1990_Rank,2000_Rank,2010_Rank,%Change_1960-1970,%Change_1970-1980,%Change_1980-1990,%Change_1990-2000,%Change_2000-2010,PopSqMile_1960,PopSqMile_1970,PopSqMile_1980,PopSqMile_1990,PopSqMile_2000,PopSqMile_2010
Alabama ,3267,3444,3894,4040,4447,4780,19,21,22,22,23,23,5,13,4,10,7,64,68,77,80,88,94
Alaska ,226,303,402,550,627,710,50,50,50,49,48,47,34,33,37,14,13,0,1,1,1,1,1
Arizona ,1302,1775,2717,3665,5131,6392,35,33,29,24,20,16,36,53,35,40,25,11,16,24,32,45,56
Arkansas ,1786,1923,2286,2351,2673,2916,31,32,33,33,33,32,8,19,3,14,9,34,37,44,45,51,56
California ,15717,19971,23668,29758,33872,37254,2,1,1,1,1,1,27,19,26,14,10,101,128,152,191,217,239
Colorado ,1754,2210,2890,3294,4301,5029,33,30,28,26,24,22,26,31,14,31,17,17,21,28,32,42,49
Connecticut ,2535,3032,3108,3287,3406,3574,25,24,25,27,29,29,20,3,6,4,5,523,626,642,679,703,738
Delaware ,446,548,594,666,784,898,46,46,47,46,45,45,23,8,12,18,15,228,281,305,342,402,461
District_of_Columbia ,764,757,638,607,572,602,0,0,0,0,0,0,-1,-16,-5,-6,5,12440,12395,10458,9941,9371,9856
Florida ,4952,6791,9747,12938,15982,18801,10,9,7,4,4,4,37,44,33,24,18,92,127,182,241,298,351
Georgia ,3943,4588,5463,6478,8186,9688,16,15,13,11,10,9,16,19,19,26,18,68,80,95,113,142,168
Hawaii ,633,770,965,1108,1212,1360,43,40,39,41,42,40,22,25,15,9,12,99,120,150,173,189,212
Idaho ,667,713,944,1007,1294,1568,42,42,41,42,39,39,7,32,7,29,21,8,9,11,12,16,19
Illinois ,10081,11110,11427,11431,12419,12831,4,5,5,6,5,5,10,3,(Z),9,3,181,200,206,206,224,231
Indiana ,4662,5195,5490,5544,6080,6484,11,11,12,14,14,15,11,6,1,10,7,130,145,153,155,170,181
Iowa ,2758,2825,2914,2777,2926,3046,24,25,27,30,30,30,3,3,-5,5,4,49,51,52,50,52,55
Kansas ,2179,2249,2364,2478,2688,2853,28,28,32,32,32,33,3,5,5,9,6,27,28,29,30,33,35
Kentucky ,3038,3221,3660,3687,4042,4339,22,23,23,23,25,26,6,14,1,10,7,76,82,93,93,102,110
Louisiana ,3257,3645,4206,4220,4469,4533,20,20,19,21,22,25,12,15,0,6,1,75,84,97,98,103,105
Maine ,969,994,1125,1228,1275,1328,36,38,38,38,40,41,3,13,9,4,4,31,32,36,40,41,43
Maryland ,3101,3924,4217,4781,5296,5774,21,18,18,19,19,19,27,8,13,11,9,317,404,434,492,546,595
Massachusetts ,5149,5689,5737,6016,6349,6548,9,10,11,13,13,14,11,1,5,6,3,657,729,736,771,814,839
Michigan ,7823,8882,9262,9295,9938,9884,7,7,8,8,8,8,14,4,0,7,-1,138,157,164,164,176,175
Minnesota ,3414,3806,4076,4376,4919,5304,18,19,21,20,21,21,12,7,7,12,8,43,48,51,55,62,67
Mississippi ,2178,2217,2521,2575,2845,2967,29,29,31,31,31,31,2,14,2,10,4,46,47,54,55,61,63
Missouri ,4320,4678,4917,5117,5595,5989,13,13,15,15,17,18,8,5,4,9,7,63,68,72,74,81,87
Montana ,675,694,787,799,902,989,41,43,44,44,44,44,3,13,2,13,10,5,5,5,5,6,7
Nebraska ,1411,1485,1570,1578,1711,1826,34,35,35,36,38,38,5,6,1,8,7,18,19,20,21,22,24
Nevada ,285,489,801,1202,1998,2701,49,47,43,39,35,35,71,64,50,66,35,3,4,7,11,18,25
New_Hampshire ,607,738,921,1109,1236,1316,45,41,42,40,41,42,22,25,20,11,7,68,82,103,124,138,147
New_Jersey ,6067,7171,7365,7730,8414,8792,8,8,9,9,9,11,18,3,5,9,4,818,975,1001,1051,1144,1195
New_Mexico ,951,1017,1303,1515,1819,2059,37,37,37,37,36,36,7,28,16,20,13,8,8,11,12,15,17
New_York ,16782,18241,17558,17991,18976,19378,1,2,2,2,3,3,9,-4,2,5,2,355,387,373,382,403,411
North_Carolina ,4556,5084,5880,6632,8049,9535,12,12,10,10,11,10,12,16,13,21,18,94,105,121,136,166,196
North_Dakota ,632,618,653,639,642,673,44,45,46,47,47,48,-2,6,-2,1,5,9,9,9,9,9,10
Ohio ,9706,10657,10798,10847,11353,11537,5,6,6,7,7,7,10,1,0,5,2,237,261,264,265,278,282
Oklahoma ,2328,2559,3025,3146,3451,3751,27,27,26,28,27,28,10,18,4,10,9,34,37,44,46,50,55
