Date,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Connecticut,0.944,0.954,0.707,0.741,0.782,0.859,0.975,0.9,0.856,0.81,0.777,0.812,0.875,0.872,0.681,0.788,1.168,1.096,0.98,1.18,1.476,1.856,2.205,2.388,2.808,1.943,2.422
Maine,0.952,0.981,0.721,0.741,0.756,0.861,0.98,0.947,0.87,0.817,0.792,0.829,0.883,0.895,0.724,0.806,1.133,1.026,0.991,1.169,1.47,1.846,2.144,2.384,2.846,1.984,2.36
Massachusetts,0.92,0.95,0.682,0.739,0.773,0.842,0.941,0.906,0.847,0.775,0.76,0.822,0.875,0.883,0.68,0.786,1.173,1.089,0.982,1.193,1.463,1.847,2.162,2.367,2.822,1.97,2.36
New_Hampshire,0.94,0.968,0.708,0.751,0.766,0.845,0.965,0.925,0.864,0.798,0.781,0.82,0.879,0.877,0.692,0.795,1.157,1.079,0.981,1.194,1.464,1.841,2.169,2.348,2.818,1.945,2.376
Rhode_Island,0.891,0.934,0.681,0.708,0.743,0.824,0.961,0.898,0.831,0.759,0.778,0.787,0.845,0.844,0.638,0.746,1.117,1.033,0.956,1.15,1.427,1.798,2.145,2.294,2.73,1.896,2.328
Vermont,0.98,0.984,0.758,0.775,0.797,0.891,0.991,0.959,0.884,0.831,0.819,0.847,0.908,0.886,0.685,0.803,1.146,1.049,1,1.199,1.508,1.894,2.196,2.421,2.929,1.99,2.422
Delaware,0.906,0.929,0.649,0.682,0.695,0.787,0.935,0.856,0.803,0.729,0.723,0.792,0.842,0.827,0.653,0.753,1.113,1.006,0.929,1.125,1.432,1.812,2.154,2.274,2.754,1.872,2.313
District_of_Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.113,0,1.021,0,0,0,0,0,0,0,2.449
Maryland,0.939,0.927,0.667,0.693,0.725,0.825,0.948,0.852,0.82,0.749,0.736,0.799,0.881,0.851,0.673,0.741,1.068,1.022,0.94,1.127,1.422,1.834,2.163,2.321,2.76,1.882,2.321
New_Jersey,0.931,0.967,0.703,0.733,0.747,0.847,0.943,0.873,0.874,0.83,0.799,0.844,0.894,0.875,0.697,0.799,1.169,1.082,0.984,1.205,1.486,1.872,2.189,2.32,2.824,1.924,2.352
