State,Abbreviation,Fips,1980,1990,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama,AL,01000,8.4,6.3,4.1,4.7,5.4,5.4,5.0,3.8,3.5,3.4,5.0,9.7,9.5
Alaska,AK,02000,9.4,7.0,6.2,6.2,7.1,7.7,7.4,6.9,6.5,6.1,6.4,7.8,8.0
Arizona,AZ,04000,6.7,5.3,4.0,4.7,6.0,5.7,5.0,4.7,4.1,3.8,5.9,9.7,10.0
Arkansas,AR,05000,7.5,6.8,4.2,4.7,5.3,5.8,5.6,5.1,5.3,5.2,5.3,7.4,7.9
California,CA,06000,6.9,5.8,4.9,5.4,6.7,6.8,6.2,5.4,4.9,5.3,7.2,11.3,12.4
Colorado,CO,08000,5.9,5.1,2.7,3.8,5.7,6.1,5.6,5.1,4.3,3.7,4.8,8.3,8.9
Connecticut,CT,09000,5.9,4.9,2.3,3.1,4.4,5.5,4.9,4.9,4.4,4.6,5.6,8.3,9.1
Delaware,DE,10000,7.4,4.2,3.3,3.5,4.0,4.2,3.9,4.0,3.5,3.5,4.9,8.0,8.5
District_of_Columbia,DC,11000,7.3,6.0,5.7,6.3,6.7,7.0,7.5,6.5,5.7,5.4,6.5,9.6,9.9
Florida,FL,12000,6.1,6.3,3.8,4.7,5.7,5.3,4.7,3.8,3.3,4.0,6.2,10.2,11.5
Georgia,GA,13000,6.2,5.2,3.5,4.0,4.8,4.8,4.7,5.2,4.7,4.7,6.3,9.7,10.2
Hawaii,HI,15000,4.8,2.4,4.0,4.2,4.0,3.9,3.2,2.8,2.5,2.7,4.0,6.8,6.6
Idaho,ID,16000,7.1,5.5,4.6,4.9,5.4,5.2,4.6,3.7,3.0,2.9,4.7,7.7,9.3
Illinois,IL,17000,8.2,6.3,4.5,5.4,6.5,6.7,6.2,5.8,4.6,5.1,6.4,10.0,10.3
Indiana,IN,18000,9.6,5.0,2.9,4.2,5.2,5.3,5.3,5.4,5.0,4.6,5.9,10.4,10.2
Iowa,IA,19000,5.7,4.5,2.8,3.3,3.9,4.4,4.6,4.3,3.7,3.8,4.3,5.6,6.1
